dataset,shape,dtype
f_vector,"(75, 72, 3)",float64
frequency,"(75, 72)",float64
gamma,"(1, 75, 72)",float64
grid_point,"(75,)",int64
group_velocity,"(75, 72, 3)",float64
heat_capacity,"(1, 75, 72)",float64
kappa,"(1, 6)",float64
kappa_C,"(1, 6)",float64
kappa_P_RTA,"(1, 6)",float64
kappa_P_exact,"(1, 6)",float64
kappa_RTA,"(1, 6)",float64
kappa_TOT_RTA,"(1, 6)",float64
kappa_TOT_exact,"(1, 6)",float64
kappa_unit_conversion,(),float64
mesh,"(3,)",int64
mode_kappa,"(1, 75, 72, 6)",float64
mode_kappa_C,"(1, 75, 72, 72, 6)",float64
mode_kappa_P_RTA,"(1, 75, 72, 6)",float64
mode_kappa_P_exact,"(1, 75, 72, 6)",float64
mode_kappa_RTA,"(1, 75, 72, 6)",float64
qpoint,"(75, 3)",float64
sigma,(),float64
temperature,"(1,)",float64
version,(),|S5
weight,"(75,)",int64
