iteration,nconf,temperature_K,q1,q2,q3,q_label,framework,solver,sigma_THz,status,kappa_particle_iso,kappa_collective_iso,kappa_coherence_iso,kappa_total_iso,particle_dataset,coherence_dataset,total_dataset,source,manifest
28,700,200.0,4,4,6,4x4x6,Wigner-phono3py-wte,SMA,0.1,ok,0.48259782467863827,,0.05629010197756352,0.5388879266562018,kappa_P_RTA,kappa_C,kappa_TOT_RTA,/kaggle/working/FAPI3_TDEP/ifc3_iter28_30_700conf/iteration_28/ifc3_rc3_4A/phono3py_wte_rta_qg_4x4x6_sigma_0.1THz/kappa-m446-s0.1.hdf5,/kaggle/working/FAPI3_TDEP/ifc3_iter28_30_700conf/iteration_28/ifc3_rc3_4A/phono3py_wte_rta_qg_4x4x6_sigma_0.1THz/hdf5_dataset_manifest.csv
29,700,200.0,4,4,6,4x4x6,Wigner-phono3py-wte,SMA,0.1,ok,0.46657776286146574,,0.0572218157942024,0.5237995786556682,kappa_P_RTA,kappa_C,kappa_TOT_RTA,/kaggle/working/FAPI3_TDEP/ifc3_iter28_30_700conf/iteration_29/ifc3_rc3_4A/phono3py_wte_rta_qg_4x4x6_sigma_0.1THz/kappa-m446-s0.1.hdf5,/kaggle/working/FAPI3_TDEP/ifc3_iter28_30_700conf/iteration_29/ifc3_rc3_4A/phono3py_wte_rta_qg_4x4x6_sigma_0.1THz/hdf5_dataset_manifest.csv
30,700,200.0,4,4,6,4x4x6,Wigner-phono3py-wte,SMA,0.1,ok,0.9563315074980365,,0.06082125035820909,1.0171527578562456,kappa_P_RTA,kappa_C,kappa_TOT_RTA,/kaggle/working/FAPI3_TDEP/ifc3_iter28_30_700conf/iteration_30/ifc3_rc3_4A/phono3py_wte_rta_qg_4x4x6_sigma_0.1THz/kappa-m446-s0.1.hdf5,/kaggle/working/FAPI3_TDEP/ifc3_iter28_30_700conf/iteration_30/ifc3_rc3_4A/phono3py_wte_rta_qg_4x4x6_sigma_0.1THz/hdf5_dataset_manifest.csv
28,700,200.0,4,4,6,4x4x6,Wigner-phono3py-wte,exact,0.1,ok,0.38445752753438267,,0.05629010197756351,0.4407476295119461,,kappa_C,kappa,/kaggle/working/FAPI3_TDEP/ifc3_iter28_30_700conf/iteration_28/ifc3_rc3_4A/phono3py_wte_lbte_qg_4x4x6_sigma_0.1THz/kappa-m446-s0.1.hdf5,/kaggle/working/FAPI3_TDEP/ifc3_iter28_30_700conf/iteration_28/ifc3_rc3_4A/phono3py_wte_lbte_qg_4x4x6_sigma_0.1THz/hdf5_dataset_manifest.csv
29,700,200.0,4,4,6,4x4x6,Wigner-phono3py-wte,exact,0.1,ok,0.3694530853775821,,0.0572218157942024,0.42667490117178447,,kappa_C,kappa,/kaggle/working/FAPI3_TDEP/ifc3_iter28_30_700conf/iteration_29/ifc3_rc3_4A/phono3py_wte_lbte_qg_4x4x6_sigma_0.1THz/kappa-m446-s0.1.hdf5,/kaggle/working/FAPI3_TDEP/ifc3_iter28_30_700conf/iteration_29/ifc3_rc3_4A/phono3py_wte_lbte_qg_4x4x6_sigma_0.1THz/hdf5_dataset_manifest.csv
30,700,200.0,4,4,6,4x4x6,Wigner-phono3py-wte,exact,0.1,ok,0.907217656550319,,0.06082125035820909,0.9680389069085281,,kappa_C,kappa,/kaggle/working/FAPI3_TDEP/ifc3_iter28_30_700conf/iteration_30/ifc3_rc3_4A/phono3py_wte_lbte_qg_4x4x6_sigma_0.1THz/kappa-m446-s0.1.hdf5,/kaggle/working/FAPI3_TDEP/ifc3_iter28_30_700conf/iteration_30/ifc3_rc3_4A/phono3py_wte_lbte_qg_4x4x6_sigma_0.1THz/hdf5_dataset_manifest.csv
28,700,200.0,5,5,7,5x5x7,Wigner-phono3py-wte,SMA,0.1,ok,0.49962496713523374,,0.05461950061813673,0.5542444677533704,kappa_P_RTA,kappa_C,kappa_TOT_RTA,/kaggle/working/FAPI3_TDEP/ifc3_iter28_30_700conf/iteration_28/ifc3_rc3_4A/phono3py_wte_rta_qg_5x5x7_sigma_0.1THz/kappa-m557-s0.1.hdf5,/kaggle/working/FAPI3_TDEP/ifc3_iter28_30_700conf/iteration_28/ifc3_rc3_4A/phono3py_wte_rta_qg_5x5x7_sigma_0.1THz/hdf5_dataset_manifest.csv
29,700,200.0,5,5,7,5x5x7,Wigner-phono3py-wte,SMA,0.1,ok,0.48861202652667846,,0.05332152171418073,0.5419335482408592,kappa_P_RTA,kappa_C,kappa_TOT_RTA,/kaggle/working/FAPI3_TDEP/ifc3_iter28_30_700conf/iteration_29/ifc3_rc3_4A/phono3py_wte_rta_qg_5x5x7_sigma_0.1THz/kappa-m557-s0.1.hdf5,/kaggle/working/FAPI3_TDEP/ifc3_iter28_30_700conf/iteration_29/ifc3_rc3_4A/phono3py_wte_rta_qg_5x5x7_sigma_0.1THz/hdf5_dataset_manifest.csv
30,700,200.0,5,5,7,5x5x7,Wigner-phono3py-wte,SMA,0.1,ok,0.9104286152655865,,0.05951881216823299,0.9699474274338195,kappa_P_RTA,kappa_C,kappa_TOT_RTA,/kaggle/working/FAPI3_TDEP/ifc3_iter28_30_700conf/iteration_30/ifc3_rc3_4A/phono3py_wte_rta_qg_5x5x7_sigma_0.1THz/kappa-m557-s0.1.hdf5,/kaggle/working/FAPI3_TDEP/ifc3_iter28_30_700conf/iteration_30/ifc3_rc3_4A/phono3py_wte_rta_qg_5x5x7_sigma_0.1THz/hdf5_dataset_manifest.csv
28,700,200.0,5,5,7,5x5x7,Wigner-phono3py-wte,exact,0.1,ok,0.4493824997533058,,0.05461950061813673,0.5040020003714426,,kappa_C,kappa,/kaggle/working/FAPI3_TDEP/ifc3_iter28_30_700conf/iteration_28/ifc3_rc3_4A/phono3py_wte_lbte_qg_5x5x7_sigma_0.1THz/kappa-m557-s0.1.hdf5,/kaggle/working/FAPI3_TDEP/ifc3_iter28_30_700conf/iteration_28/ifc3_rc3_4A/phono3py_wte_lbte_qg_5x5x7_sigma_0.1THz/hdf5_dataset_manifest.csv
