iteration,temperature_K,vibrational_free_energy_eV_per_atom
1,200.00000000,1.3071841442000001e-01
2,200.00000000,1.3660029424000000e-01
3,200.00000000,1.3891044023999999e-01
4,200.00000000,1.3766911287000000e-01
5,200.00000000,1.3880914337000000e-01
6,200.00000000,1.3821343708000000e-01
7,200.00000000,1.3851513250000000e-01
8,200.00000000,1.3801786427000001e-01
9,200.00000000,1.3844760747000001e-01
10,200.00000000,1.3830752466999999e-01
11,200.00000000,1.3861790425000001e-01
12,200.00000000,1.3818922881000001e-01
13,200.00000000,1.3842056004000000e-01
14,200.00000000,1.3816757856000000e-01
15,200.00000000,1.3840898102999999e-01
16,200.00000000,1.3845090161000001e-01
17,200.00000000,1.3830146940999999e-01
18,200.00000000,1.3835931032000001e-01
19,200.00000000,1.3819423602000000e-01
20,200.00000000,1.3833403008000000e-01
21,200.00000000,1.3851961158000001e-01
22,200.00000000,1.3844193389000001e-01
23,200.00000000,1.3834495955000001e-01
24,200.00000000,1.3816088977999999e-01
25,200.00000000,1.3840766424000001e-01
26,200.00000000,1.3848526534000000e-01
27,200.00000000,1.3843731250999999e-01
28,200.00000000,1.3836934148999999e-01
29,200.00000000,1.3834643939999999e-01
30,200.00000000,1.3817096887999999e-01
