iteration,temperature_K,vibrational_free_energy_eV_per_atom
1,200.00000000,3.3594303423000002e+09
2,200.00000000,1.3660159493999999e-01
3,200.00000000,1.3867504380000001e-01
4,200.00000000,1.3657928387000001e-01
5,200.00000000,1.3868072490000000e-01
6,200.00000000,1.3705232466000000e-01
7,200.00000000,1.3858672439000000e-01
8,200.00000000,1.3702042560000000e-01
9,200.00000000,1.3858412019999999e-01
10,200.00000000,1.3739302271000001e-01
11,200.00000000,1.3836402651999999e-01
12,200.00000000,1.3753214940000000e-01
13,200.00000000,1.3826116725000001e-01
14,200.00000000,1.3755284273999999e-01
15,200.00000000,1.3826662725000000e-01
16,200.00000000,1.3776818299999999e-01
17,200.00000000,1.3798642830999999e-01
18,200.00000000,1.3783902830000000e-01
19,200.00000000,1.3778853229999999e-01
20,200.00000000,1.3781292025000000e-01
21,200.00000000,1.3813075822000001e-01
22,200.00000000,1.3759823606999999e-01
23,200.00000000,1.3808649327000000e-01
24,200.00000000,1.3762891415000000e-01
25,200.00000000,1.3817504074000000e-01
26,200.00000000,1.3777595002000001e-01
27,200.00000000,1.3792279974999999e-01
28,200.00000000,1.3777060262999999e-01
29,200.00000000,1.3813760962999999e-01
30,200.00000000,1.3761168677999999e-01
